CNAE;RAT;FPAS;Descrição da atividade
135450;2,00%;507;Fabricação de tecidos especiais, inclusiv e artefatos
135960;2,00%;507;Fabricação de outros produtos têxteis não  especificados anteriormente
141180;2,00%;507;Confecção de roupas íntimas
141180;2,00%;507;Facção de roupas íntimas
141260;2,00%;507;Confecção de peças do vestuário, exceto r oupas íntimas e as confeccionadas
141260;2,00%;507;Confecção, sob medida, de peças do vestuá rio, exceto roupas íntimas
141260;2,00%;507;Facção de peças do vestuário, exceto roup as íntimas
141340;2,00%;507;Confecção de roupas profissionais, exceto  sob medida
141340;2,00%;507;Confecção, sob medida, de roupas profissi onais
141340;2,00%;507;Facção de roupas profissionais
141420;2,00%;507;Fabricação de acessórios do vestuário, ex ceto para segurança e proteção
142150;2,00%;507;Fabricação de meias
142230;2,00%;507;Fabricação de artigos do vestuário, produ zidos em malharias e tricotagens,
151060;3,00%;507;Curtimento e outras preparações de couro
152110;2,00%;507;Fabricação de artigos para viagem, bolsas  e semelhantes de qualquer
152970;2,00%;507;Fabricação de artefatos de couro não espe cificados anteriormente
153190;2,00%;507;Fabricação de calçados de couro
153190;2,00%;507;Acabamento de calçados de couro sob contr ato
153270;2,00%;507;Fabricação de tênis de qualquer material
153350;2,00%;507;Fabricação de calçados de material sintét ico
153940;2,00%;507;Fabricação de calçados de materiais não e specificados anteriormente
154080;2,00%;507;Fabricação de partes para calçados, de qu alquer material
161020;2,00%;507;Serrarias com desdobramento de madeira
161020;2,00%;507;Serrarias sem desdobramento de madeira
162180;2,00%;507;Fabricação de madeira laminada e de chapa s de madeira compensada,
162260;2,00%;507;Fabricação de casas de madeira pré-fabric adas
162260;2,00%;507;Fabricação de esquadrias de madeira e de peças de madeira para instalações
162269;2,00%;507;Fabricação de outros artigos de carpintar ia para construção
162340;2,00%;507;Fabricação de artefatos de tanoaria e de embalagens de madeira
162930;2,00%;507;Fabricação de artefatos diversos de madei ra, exceto móveis
162930;2,00%;507;Fabricação de artefatos diversos de corti ça, bambu, palha, vime e outros
171090;2,00%;507;Fabricação de celulose e outras pastas pa ra a fabricação de papel
172140;2,00%;507;Fabricação de papel
172220;2,00%;507;Fabricação de cartolina e papel-cartão
173110;3,00%;507;Fabricação de embalagens de papel
173200;3,00%;507;Fabricação de embalagens de cartolina e p apel-cartão
173380;3,00%;507;Fabricação de chapas e de embalagens de p apelão ondulado
174190;2,00%;507;Fabricação de formulários contínuos
174190;2,00%;507;Fabricação de produtos de papel, cartolin a, papel-cartão e papelão ondulado
174270;2,00%;507;Fabricação de fraldas descartáveis
174270;2,00%;507;Fabricação de absorventes higiênicos
174279;2,00%;507;Fabricação de produtos de papel para uso doméstico e higiênico-sanitário
174940;2,00%;507;Fabricação de produtos de pastas celulósi cas, papel, cartolina, papel- cartão e
181130;2,00%;507;Impressão de jornais
181130;2,00%;507;Impressão de livros, revistas e outras pu blicações periódicas
181210;2,00%;507;Impressão de material de segurança
181300;2,00%;507;Impressão de material para uso publicitár io
181309;2,00%;507;Impressão de material para outros usos
182110;1,00%;507;Serviços de pré-impressão
182290;1,00%;507;Serviços de acabamentos gráficos
183000;1,00%;507;Reprodução de som em qualquer suporte
183000;1,00%;507;Reprodução de vídeo em qualquer suporte
183000;1,00%;507;Reprodução de software em qualquer suport e
191010;2,00%;507;Coquerias
192170;2,00%;507;Fabricação de produtos do refino de petró leo
192250;2,00%;507;Formulação de combustíveis
192250;2,00%;507;Rerrefino de óleos lubrificantes
192259;2,00%;507;Fabricação de outros produtos derivados d o petróleo, exceto produtos do
193140;2,00%;507;Fabricação de álcool - indústria
193220;2,00%;507;Fabricação de biocombustíveis, exceto álc ool
201180;2,00%;507;Fabricação de cloro e álcalis
201260;2,00%;507;Fabricação de intermediários para fertili zantes
201340;2,00%;507;Fabricação de adubos e fertilizantes
201420;2,00%;507;Fabricação de gases industriais
201930;2,00%;507;Elaboração de combustíveis nucleares
201939;2,00%;507;Fabricação de outros produtos químicos in orgânicos não especificados
202150;2,00%;507;Fabricação de produtos petroquímicos bási cos
202230;2,00%;507;Fabricação de intermediários para plastif icantes, resinas e fibras
202910;2,00%;507;Fabricação de produtos químicos orgânicos  não especificados anteriormente
203120;2,00%;507;Fabricação de resinas termoplásticas
203210;2,00%;507;Fabricação de resinas termofixas
203390;2,00%;507;Fabricação de elastômeros
204010;2,00%;507;Fabricação de fibras artificiais e sintét icas
205170;2,00%;507;Fabricação de defensivos agrícolas
205250;2,00%;507;Fabricação de desinfestantes domissanitár ios
206140;2,00%;507;Fabricação de sabões e detergentes sintét icos
206220;2,00%;507;Fabricação de produtos de limpeza e polim ento
206310;2,00%;507;Fabricação de cosméticos, produtos de per fumaria e de higiene pessoal
207110;2,00%;507;Fabricação de tintas, vernizes, esmaltes e lacas
207200;2,00%;507;Fabricação de tintas de impressão
207380;2,00%;507;Fabricação de impermeabilizantes, solvent es e produtos afins
209160;2,00%;507;Fabricação de adesivos e selantes
209240;2,00%;507;Fabricação de pólvoras, explosivos e deto nantes
209240;2,00%;507;Fabricação de artigos pirotécnicos
209240;2,00%;507;Fabricação de fósforos de segurança
209320;2,00%;507;Fabricação de aditivos de uso industrial
209410;2,00%;507;Fabricação de catalisadores
209910;2,00%;507;Fabricação de chapas, filmes, papéis e ou tros materiais e produtos químicos
209919;2,00%;507;Fabricação de outros produtos químicos nã o especificados anteriormente
211060;2,00%;507;Fabricação de produtos farmoquímicos
212110;2,00%;507;Fabricação de medicamentos alopáticos par a uso humano
212110;2,00%;507;Fabricação de medicamentos homeopáticos p ara uso humano
212110;2,00%;507;Fabricação de medicamentos fitoterápicos para uso humano - indústria
212200;2,00%;507;Fabricação de medicamentos para uso veter inário
212380;2,00%;507;Fabricação de preparações farmacêuticas
221110;2,00%;507;Fabricação de pneumáticos e de câmaras-de -ar
221290;2,00%;507;Reforma de pneumáticos usados
221960;2,00%;507;Fabricação de artefatos de borracha não e specificados anteriormente
222180;2,00%;507;Fabricação de laminados planos e tubulare s de material plástico
222260;2,00%;507;Fabricação de embalagens de material plás tico
222340;2,00%;507;Fabricação de tubos e acessórios de mater ial plástico para uso na construção
222930;2,00%;507;Fabricação de artefatos de material plást ico para uso pessoal e doméstico
222930;2,00%;507;Fabricação de artefatos de material plást ico para usos industriais
222930;2,00%;507;Fabricação de artefatos de material plást ico para uso na construção, exceto
222939;2,00%;507;Fabricação de artefatos de material plást ico para outros usos não
231170;1,00%;507;Fabricação de vidro plano e de segurança
231250;1,00%;507;Fabricação de embalagens de vidro
231920;1,00%;507;Fabricação de artigos de vidro
232060;3,00%;507;Fabricação de cimento
233030;3,00%;507;Fabricação de estruturas pré-moldadas de concreto armado, em série e sob
233030;3,00%;507;Fabricação de artefatos de cimento para u so na construção
233030;3,00%;507;Fabricação de artefatos de fibrocimento p ara uso na construção
233030;3,00%;507;Fabricação de casas pré-moldadas de concr eto
233030;3,00%;507;Preparação de massa de concreto e argamas sa para construção
233039;3,00%;507;Fabricação de outros artefatos e produtos  de concreto, cimento,
